Brand,Model,Age,Kilometer,Engine,Max Power,Seats,Fuel Type_Code,Transmission_Code,Age_Squared,Km_per_Year,Power_per_Seat,Log_Price
Acura,TLX V6 Advance,9,205996,3500.0,290.0,5,2,0,81,22636.923076923078,57.999884000232,14.301818668809052
Acura,TLX V6 Advance,6,41487,3500.0,355.0,5,2,0,36,6801.147540983607,70.99985800028401,14.765359075766769
Acura,TLX V6 Tech,10,61155,3500.0,355.0,5,2,0,100,6054.950495049505,70.99985800028401,14.417890772676342
Acura,TLX w/A-Spec Package,3,23973,2000.0,355.0,5,2,0,9,7733.225806451613,70.99985800028401,15.020233281030848
Acura,TSX 2.4,15,186683,2400.0,280.0,5,2,1,225,12363.112582781458,55.999888000224004,13.528629497949689
Acura,TSX Base,20,243976,2400.0,270.0,5,2,1,400,12138.109452736318,53.999892000216,13.39814188267824
Acura,TSX Technology,14,302368,2400.0,280.0,5,2,0,196,21444.5390070922,55.999888000224004,13.03615386065701
Acura,ZDX Base,15,197949,3700.0,490.0,5,2,0,225,13109.205298013245,97.999804000392,13.96242943695628
Acura,ZDX Base,13,171129,3700.0,300.0,7,2,0,169,13063.282442748092,42.857081632740524,14.275843198587168
Alfa,Romeo Giulia Base,8,77248,2000.0,505.0,5,2,0,64,9536.79012345679,100.99979800040401,14.351829059388965
Alfa,Romeo Giulia Base,8,57936,2000.0,505.0,5,2,0,64,7152.592592592593,100.99979800040401,14.375926597041891
Alfa,Romeo Giulia Base,5,48280,2000.0,505.0,5,2,0,25,9466.666666666668,100.99979800040401,14.695245598358138
Alfa,Romeo Giulia Quadrifoglio,7,46098,2900.0,520.0,5,2,0,49,6492.6760563380285,103.99979200041601,15.057097304508934
Alfa,Romeo Giulia Quadrifoglio,4,16991,2900.0,520.0,5,2,0,16,4144.146341463415,103.99979200041601,15.648891861755239
Alfa,Romeo Giulia Quadrifoglio,3,3164,2900.0,520.0,5,2,0,9,1020.6451612903226,103.99979200041601,15.660820430724796
Alfa,Romeo Giulia Ti,8,91588,2000.0,505.0,5,2,0,64,11307.160493827161,100.99979800040401,14.466898325597924
Alfa,Romeo Giulia Ti,6,34440,2000.0,505.0,5,2,0,36,5645.901639344263,100.99979800040401,14.681308096337414
Alfa,Romeo Giulia Ti,5,37560,2000.0,280.0,5,2,0,25,7364.705882352941,55.999888000224004,14.876557349519576
Alfa,Romeo Giulia Ti,4,3219,2000.0,505.0,5,2,0,16,785.1219512195123,100.99979800040401,14.994965541922788
Alfa,Romeo Giulia Ti,2,14927,2000.0,505.0,5,2,0,4,7108.095238095238,100.99979800040401,15.113318181557942
Alfa,Romeo Stelvio Base,7,80467,2000.0,505.0,5,2,0,49,11333.38028169014,100.99979800040401,14.645590029034093
Alfa,Romeo Stelvio Quadrifoglio,6,42648,2900.0,520.0,5,2,0,36,6991.475409836066,103.99979200041601,15.318534288718308
Alfa,Romeo Stelvio Ti,5,65983,2000.0,505.0,5,2,0,25,12937.843137254902,100.99979800040401,14.809562381219365
Alfa,Romeo Stelvio Ti,2,10694,2000.0,505.0,5,2,0,4,5092.380952380952,100.99979800040401,15.113318181557942
Alfa,Romeo Stelvio Ti Sport,7,59618,2000.0,505.0,5,2,0,49,8396.901408450705,100.99979800040401,14.612315254901596
Alfa,Romeo Stelvio Ti Sport,6,63754,2000.0,505.0,5,2,0,36,10451.475409836066,100.99979800040401,14.695245598358138
Alfa,Romeo Stelvio Ti Sport,5,34580,2000.0,505.0,5,2,0,25,6780.392156862746,100.99979800040401,14.896560867208846
Alfa,Romeo Stelvio Ti Sport,5,30038,2000.0,505.0,5,2,0,25,5889.803921568628,100.99979800040401,14.905012809300374
Ambassador,CLASSIC 1500 DSL AC,25,90000,1489.0,36.0,5,0,1,625,3585.657370517928,7.199985600028801,11.225256725762893
Ambassador,Classic 2000 DSZ AC PS,31,100000,1995.0,52.0,5,0,1,961,3215.434083601286,10.399979200041601,11.502885230075814
Ambassador,Grand 1500 DSZ BSIII,17,60000,1995.0,52.0,5,0,1,289,3508.771929824561,10.399979200041601,11.711784520403112
Ambassador,Grand 2000 DSZ PW CL,17,80000,1995.0,52.0,5,0,1,289,4678.3625730994145,10.399979200041601,12.206077645517674
Ashok,Leyland Stile LE,12,200000,1461.0,75.0,8,0,1,144,16528.92561983471,9.374988281264649,12.611541086966115
Aston,Martin DB7 Vantage Volante,22,23979,5900.0,426.0,5,2,1,484,1085.0226244343892,85.1998296003408,14.82335569828219
Aston,Martin DBS Superleggera,6,36645,5200.0,715.0,4,2,0,36,6007.377049180328,178.7495531261172,16.549627451566753
Aston,Martin DBS Superleggera,4,3484,5200.0,715.0,5,2,0,16,849.7560975609757,142.999714000572,16.966014646972273
Aston,Martin DBX Base,4,3787,4000.0,789.0,5,2,0,16,923.6585365853659,157.7996844006312,16.403447585746704
Aston,Martin V8 Vantage Base,17,100387,4300.0,670.0,2,2,1,289,5870.584795321637,334.99832500837493,14.857617396036117
Aston,Martin V8 Vantage Base,17,40274,4300.0,670.0,2,2,0,289,2355.204678362573,334.99832500837493,14.994965541922788
Aston,Martin V8 Vantage Base,15,41828,4700.0,670.0,5,2,0,225,2770.066225165563,133.999732000536,15.579827570577386
Aston,Martin Vantage Base,3,1646,4000.0,503.0,2,2,0,9,530.9677419354839,251.49874250628747,16.38701232450652
Aston,Martin Vantage GT Base,10,33957,4700.0,565.0,2,2,1,100,3362.079207920792,282.49858750706244,15.713430372900804
Audi,A3 2.0 TDI Premium Plus,10,133575,2000.0,220.0,5,0,0,100,13225.247524752476,43.999912000176,14.275790818099077
Audi,A3 2.0T,15,134380,2000.0,248.0,5,2,0,225,8899.337748344371,49.599900800198405,13.203207609924831
Audi,A3 2.0T Premium,13,179544,2000.0,201.0,5,2,0,169,13705.648854961832,40.199919600160804,13.747318437219427
Audi,A3 2.0T Premium,9,145420,2000.0,220.0,5,2,0,81,15980.21978021978,43.999912000176,14.072180177135605
Audi,A3 2.0T Premium,8,220480,2000.0,325.0,5,2,0,64,27219.753086419754,64.99987000026,13.728845302885725
Audi,A3 2.0T Premium,7,58741,2000.0,325.0,5,2,0,49,8273.38028169014,64.99987000026,14.570082510723173
Audi,A3 2.0T Premium,6,45401,2000.0,325.0,5,2,0,36,7442.786885245902,64.99987000026,14.645590029034093
Audi,A3 2.0T Tech Premium,7,79662,2000.0,325.0,5,2,0,49,11220.0,64.99987000026,14.550279892831231
Audi,A3 2.0T Tech Premium,7,63730,2000.0,325.0,5,2,0,49,8976.05633802817,64.99987000026,14.627204038375918
Audi,A3 35 TDI Premium,11,76529,1968.0,141.0,5,0,0,121,6894.504504504504,28.199943600112803,14.403297778421795
Audi,A3 35 TDI Premium,8,64000,1968.0,141.0,5,0,0,64,7901.234567901235,28.199943600112803,14.77102238760702
Audi,A3 35 TDI Premium,6,15529,1968.0,141.0,5,0,0,36,2545.737704918033,28.199943600112803,14.88022163978423
Audi,A3 35 TDI Premium,5,11000,1968.0,141.0,5,0,0,25,2156.8627450980393,28.199943600112803,14.897316067298997
Audi,A3 35 TDI Premium + Sunroof,11,55000,1968.0,141.0,5,0,0,121,4954.954954954955,28.199943600112803,14.316286451937186
Audi,A3 35 TDI Premium + Sunroof,10,60000,1968.0,141.0,5,0,0,100,5940.594059405941,28.199943600112803,14.115615891155079
Audi,A3 35 TDI Premium + Sunroof,6,15530,1968.0,141.0,5,0,0,36,2545.9016393442625,28.199943600112803,14.88022163978423
Audi,A3 35 TDI Premium Plus,11,85900,1968.0,141.0,5,0,0,121,7738.738738738739,28.199943600112803,14.144815024531075
Audi,A3 35 TDI Premium Plus,5,36978,1968.0,141.0,5,0,0,25,7250.588235294118,28.199943600112803,14.767168819776032
Audi,A3 35 TDI Premium Plus + Sunroof,9,40500,1968.0,141.0,5,0,0,81,4450.549450549451,28.199943600112803,14.615267923020578
Audi,A3 35 TDI Premium Plus + Sunroof,7,17300,1968.0,141.0,5,0,0,49,2436.6197183098593,28.199943600112803,14.897316067298997
Audi,A3 35 TDI Premium Plus + Sunroof,6,36000,1968.0,141.0,5,0,0,36,5901.639344262296,28.199943600112803,14.682611465815636
Audi,A3 35 TDI Technology + Sunroof,9,32000,1968.0,141.0,5,0,0,81,3516.4835164835167,28.199943600112803,14.23750562376114
Audi,A3 35 TDI Technology + Sunroof,9,40500,1968.0,141.0,5,0,0,81,4450.549450549451,28.199943600112803,14.626441218624949
Audi,A3 35 TDI Technology + Sunroof,5,40910,1968.0,141.0,5,0,0,25,8021.568627450981,28.199943600112803,14.930652476452392
Audi,A3 35 TFSI Premium Plus,7,15600,1395.0,148.0,5,2,0,49,2197.1830985915494,29.599940800118404,14.552674623940995
Audi,A3 35 TFSI Premium Plus,7,77590,1395.0,148.0,5,2,0,49,10928.169014084508,29.599940800118404,14.594835893480763
Audi,A3 40 TFSI Premium,8,8000,1798.0,178.0,5,2,0,64,987.6543209876544,35.5999288001424,14.340239086899256
