Brand,Model,Year,Age,Kilometer,Fuel Type,Engine,Max Power,Transmission,Seats,Price
Bentley,Continental GT W12,2017,8,23632,Petrol,6000,582,Automatic,5,10842000
BMW,M4 Base,2019,6,93020,Petrol,3000,530,Automatic,5,4670317
Toyota,GR Corolla Circuit Edition,2023,2,1532,Petrol,1600,300,Manual,5,4165830
Audi,RS 5 2.9T,2019,6,34182,Petrol,2900,444,Automatic,5,4999830
Porsche,Cayenne Base,2019,6,95495,Petrol,3000,550,Automatic,5,3544417
Lamborghini,Huracan Tecnica Coupe,2023,2,410,Petrol,5200,572,Automatic,5,30023249
Maserati,Quattroporte S,2019,6,37385,Petrol,3000,523,Automatic,5,3752917
Jaguar,XF 35t R-Sport,2017,8,77248,Petrol,3000,380,Automatic,5,2502000
Lexus,ES 330 Base,2005,20,66078,Petrol,3300,225,Automatic,5,925740
Land,Rover Discovery Sport SE R-Dynamic,2020,5,34182,Petrol,2000,246,Automatic,7,3169033
Porsche,Cayman GTS,2015,10,18507,Petrol,3400,394,Automatic,2,6004800
Genesis,G90 3.3T Premium,2021,4,16013,Petrol,3300,420,Automatic,5,4499430
Volkswagen,Golf R 20th Anniversary Edition,2023,2,1019,Petrol,2000,328,Manual,5,4003117
Hyundai,Sonata Hybrid Limited,2015,10,106216,Other,2400,237,Automatic,5,1326060
Audi,RS 7 4.0T Prestige,2014,11,96102,Petrol,4000,621,Automatic,5,3753000
BMW,740 Li,2012,13,137199,Petrol,3000,536,Automatic,5,1542900
Mercedes-Benz,GLS 450 Base 4MATIC,2020,5,28807,Other,3000,483,Automatic,7,6672000
BMW,M6 Base,2016,9,41038,Petrol,4400,600,Automatic,5,4587000
Subaru,Forester 2.5 X,2004,21,339093,Petrol,2500,288,Manual,5,191820
Hyundai,Elantra N Base,2023,2,6115,Petrol,2000,276,Manual,5,2835600
Kia,Niro Plug-In Hybrid EX Premium,2022,3,58905,Other,1600,201,Automatic,5,2668383
Rivian,R1S Adventure Package,2023,2,4506,Other,,835,Automatic,7,7672800
Aston,Martin DBS Superleggera,2021,4,3484,Petrol,5200,715,Automatic,5,23347830
Mercedes-Benz,SLC 300 Base,2018,7,53108,Petrol,2000,510,Automatic,2,2493660
BMW,435 Gran Coupe i,2016,9,122324,Petrol,3000,385,Automatic,5,2080830
Jeep,Grand Cherokee Summit,2020,5,50451,Petrol,5700,360,Automatic,5,3283124
Lexus,RC 350 Base,2015,10,77248,Petrol,3500,350,Automatic,4,2743860
BMW,525 i,2005,20,147126,Petrol,2500,507,Automatic,5,742260
Toyota,Corolla LE,2003,22,200775,Petrol,1800,169,Manual,5,416583
Cadillac,CT5-V Blackwing,2023,2,3887,Petrol,6200,668,Automatic,5,8748660
GMC,Acadia SLT-1,2012,13,187047,Petrol,3600,288,Automatic,5,658860
Lexus,LC 500 Base,2020,5,60944,Petrol,5000,471,Automatic,5,6334230
BMW,i8 Base,2019,6,66788,Other,1500,369,Automatic,4,7172400
Lexus,ES 300h Base,2013,12,140014,Other,2500,215,Automatic,5,1500783
Cadillac,CT5-V V-Series,2022,3,7163,Petrol,3000,360,Automatic,5,4641627
BMW,540 i xDrive,2020,5,43706,Petrol,2000,407,Automatic,5,3335833
Chevrolet,Express 1500 Work Van,2014,11,224992,Petrol,4300,401,Automatic,5,1209300
Jeep,Gladiator Rubicon,2022,3,43935,Petrol,3600,285,Automatic,5,3961500
BMW,Z4 sDrive28i,2014,11,59243,Petrol,2000,300,Automatic,2,2251800
Land,Rover LR4 HSE LUX Landmark Edition,2016,9,231745,Petrol,3000,380,Automatic,7,1501200
Cadillac,XT4 Sport,2019,6,71616,Petrol,2000,241,Automatic,5,2410260
BMW,750 750i xDrive,2021,4,17569,Petrol,4400,601,Automatic,5,6171433
Bentley,Arnage R,2005,20,13409,Petrol,6750,500,Automatic,5,3948990
Lincoln,Aviator Reserve AWD,2020,5,82474,Petrol,3000,494,Automatic,5,3978013
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,9,111044,Petrol,5500,603,Automatic,7,3044100
RAM,ProMaster 3500 High Roof,2021,4,237915,Petrol,3600,420,Automatic,5,2724011
Ford,Utility Police Interceptor Base,2013,12,168981,Other,3700,365,Automatic,5,550440
Audi,A5 2.0T Premium,2011,14,148386,Petrol,2000,450,Automatic,4,833583
Nissan,GT-R Premium,2010,15,25106,Petrol,3800,485,Automatic,5,5796300
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,7,168498,Petrol,3000,340,Automatic,5,2566635
Toyota,Corolla LE,2010,15,116433,Petrol,1800,169,Automatic,5,833583
Rivian,R1S Adventure Package,2023,2,4023,Other,,835,Automatic,7,7839600
Mercedes-Benz,C-Class C300 4MATIC,2022,3,21206,Petrol,2000,362,Automatic,5,3736153
Porsche,Cayenne E-Hybrid S,2016,9,154497,Other,3000,416,Automatic,5,1918200
Chevrolet,Express 1500 Work Van,2011,14,149683,Other,5300,401,Automatic,2,1876083
INFINITI,Q70h Base,2016,9,84893,Other,3500,420,Automatic,5,2418433
Audi,A7 Premium Plus,2020,5,40814,Other,3000,444,Automatic,5,4169833
Audi,Q7 3.0T Premium Plus,2015,10,158563,Petrol,3000,335,Automatic,7,833583
Lucid,Air Pure,2023,2,2092,Other,,430,Automatic,5,7247460
Audi,TTS 2.0T Premium Plus,2012,13,117356,Petrol,2000,265,Automatic,4,2168317
BMW,650 Gran Coupe i xDrive,2015,10,65983,Petrol,4400,450,Automatic,5,2502000
Subaru,Forester Premium,2021,4,67793,Petrol,2500,315,Automatic,5,2326777
Mercedes-Benz,AMG C AMG C 63,2016,9,99779,Petrol,4000,510,Automatic,5,3336000
Land,Rover LR3 HSE,2006,19,247586,Petrol,4400,305,Automatic,5,829830
BMW,X7 xDrive40i,2019,6,56726,Petrol,3000,381,Automatic,5,4503433
Ford,Transit Connect XLT,2015,10,312943,Petrol,2500,212,Automatic,2,824659
Lexus,LX 570 Three-Row,2021,4,33796,Petrol,5700,383,Automatic,5,7505917
Porsche,911 Carrera S,2013,12,29763,Petrol,3800,503,Manual,5,7247460
Dodge,Ram 2500 Laramie Quad Cab,2006,19,350836,Petrol,5700,325,Automatic,5,1083366
Nissan,Armada SL,2021,4,109113,Petrol,5600,460,Automatic,5,3044100
Porsche,Cayman Base,2014,11,127138,Petrol,2700,325,Automatic,5,3586117
Mercedes-Benz,GLE 450 GLE 450,2022,3,40082,Other,3000,483,Automatic,5,5337433
Chevrolet,Monte Carlo SS,2006,19,107568,Petrol,5300,307,Automatic,5,1000800
BMW,M5 Base,2013,12,138403,Petrol,4400,560,Automatic,5,2668800
Hyundai,Kona N Base,2023,2,1053,Petrol,2000,280,Automatic,5,2885557
Chevrolet,Monte Carlo SS,2005,20,120701,Petrol,3800,307,Automatic,5,1042500
Land,Rover Range Rover Evoque Pure,2015,10,135185,Petrol,2000,240,Automatic,5,1901520
Audi,S7 4.0T Premium Plus,2017,8,84490,Petrol,4000,450,Automatic,5,3335917
GMC,Acadia SLT-1,2011,14,193121,Petrol,3600,288,Automatic,8,625500
Alfa,Romeo Stelvio Ti Sport,2020,5,30038,Petrol,2000,505,Automatic,5,2972793
Ferrari,FF Base,2016,9,32166,Petrol,6300,660,Automatic,5,12501660
Kia,K900 5.0L,2017,8,58718,Petrol,5000,420,Automatic,5,1997430
Ford,E150 XLT,2013,12,260874,Other,5400,255,Automatic,5,1042500
Tesla,Model 3 Performance,2022,3,21049,Other,,400,Automatic,5,3919800
Toyota,4Runner SR5,2022,3,45668,Petrol,4000,270,Automatic,5,3085717
Subaru,Forester Base,2020,5,52696,Petrol,2500,182,Automatic,5,2001600
Porsche,Panamera 2,2012,13,86904,Petrol,3600,550,Automatic,5,2168400
Toyota,Tacoma PreRunner,2008,17,325175,Petrol,4000,236,Automatic,3,708900
RAM,2500 Laramie,2019,6,104607,Diesel,6700,410,Automatic,3,5421000
Kia,Sportage Nightfall,2022,3,15588,Petrol,2400,181,Automatic,5,2584566
Cadillac,DTS Base,2010,15,79855,Petrol,4600,403,Automatic,5,875617
Toyota,Land Cruiser Base,1997,28,342789,Petrol,4500,235,Automatic,7,2210100
Nissan,GT-R Premium,2020,5,25766,Petrol,3800,600,Automatic,4,9507600
Lexus,NX 350 F SPORT Handling,2023,2,1320,Petrol,2400,311,Automatic,5,4336633
Audi,Q7 45 Premium Plus,2021,4,109435,Petrol,2000,335,Automatic,7,3044017
Lexus,LX 470 Base,1999,26,131966,Petrol,4700,371,Automatic,8,2085000
